,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
13,2004,ANA,AL,haltesh01,SS,575000,2003,1,DET,AL,114,360,33,78,5,2,12,30,2,3,27,77,0,0,3,3,11
590,2004,OAK,AL,karroer01,1B,550000,2003,1,CHN,NL,114,336,37,96,16,1,12,40,1,1,28,46,1,0,0,1,14
2,2004,ANA,AL,davanje02,OF,375000,2003,1,ANA,AL,123,330,56,93,16,1,12,43,17,5,42,59,0,1,4,5,6
578,2004,OAK,AL,byrneer01,OF,328000,2003,1,OAK,AL,121,414,64,109,27,9,12,51,10,2,42,71,4,2,0,2,3
330,2004,FLO,NL,cabremi01,OF,320000,2003,1,FLO,NL,87,314,39,84,21,3,12,62,0,2,25,84,3,2,4,1,12
785,2004,TBA,AL,hallto02,C,320000,2003,1,TBA,AL,130,463,50,117,23,0,12,47,0,1,23,40,4,7,0,5,14
207,2004,CIN,NL,griffke02,OF,12500000,2003,1,CIN,NL,53,166,34,41,12,1,13,26,1,0,27,44,5,6,1,1,3
678,2004,SDN,NL,nevinph01,OF,8500000,2003,1,SDN,NL,59,226,30,63,8,0,13,46,2,0,21,44,1,0,0,1,9
616,2004,PHI,NL,liebemi01,C,7500000,2003,1,PHI,NL,131,508,68,159,30,1,13,81,0,0,38,59,2,12,0,3,14
760,2004,SLN,NL,renteed01,SS,7250000,2003,1,SLN,NL,157,587,96,194,47,1,13,100,34,7,65,54,12,1,3,7,21
716,2004,SFN,NL,alfoned01,3B,6500000,2003,1,SFN,NL,142,514,56,133,25,2,13,81,5,2,58,41,4,4,3,7,14
711,2004,SEA,AL,suzukic01,OF,6500000,2003,1,SEA,AL,159,679,111,212,29,8,13,62,34,8,36,69,7,6,3,1,3
